0.0,23.19,47.52,70.04,93.74,116.66,138.19,157.18,171.84,184.13,187.45,186.82,183.48,176.98,172.93,172.94,174.07,19.42,36.07,53.25,68.45,82.57,100.17,117.88,135.82,150.44,158.62,87.28,87.37,89.74,94.54,90.21,97.08,104.85,110.15,115.38,35.13,44.18,57.22,68.03,57.31,44.55,108.0,118.15,130.14,139.0,131.14,119.1,109.29,106.96,109.71,117.8,123.6,135.43,147.41,144.05,138.6,133.06,127.14,119.2,111.4,116.69,123.79,129.19,142.8,129.83,123.76,117.41
23.19,0.0,24.33,46.87,70.61,93.68,115.52,135.06,150.9,164.83,170.07,171.68,170.85,167.11,165.98,169.07,173.28,36.4,53.23,67.01,78.64,89.36,105.55,123.0,140.24,153.38,159.35,89.2,85.33,84.01,85.16,76.16,83.38,91.55,98.03,104.12,37.74,49.09,60.83,68.31,56.61,44.01,107.28,118.6,130.27,137.77,129.12,117.39,89.27,88.73,93.19,101.87,108.71,120.77,132.48,127.86,121.21,114.87,108.21,99.72,91.93,99.02,106.83,113.21,127.63,113.74,106.61,99.64
47.52,24.33,0.0,22.56,46.32,69.57,91.79,112.0,129.32,145.25,152.86,157.18,159.36,158.91,161.11,167.53,174.91,58.69,74.46,85.43,93.81,101.12,115.26,131.83,147.87,159.24,162.86,96.52,89.0,83.82,80.62,66.27,73.44,81.61,89.27,96.13,52.15,63.01,72.14,75.8,64.66,54.49,110.98,123.0,133.93,139.79,130.6,119.62,69.81,72.01,78.77,87.92,95.88,107.86,118.93,112.81,104.71,97.42,89.87,80.8,73.24,82.73,91.29,98.79,113.89,99.16,90.8,83.19
70.04,46.87,22.56,0.0,23.77,47.17,69.77,90.7,109.6,127.64,137.75,144.92,150.21,153.08,158.49,167.93,178.1,80.1,95.04,104.04,110.02,114.62,126.73,142.14,156.85,166.47,167.94,106.78,96.67,88.51,81.54,63.06,69.43,76.94,85.33,92.57,69.89,79.71,86.61,87.32,77.42,69.77,117.64,129.85,139.82,144.06,134.65,124.68,54.23,60.02,69.18,78.31,87.14,98.51,108.5,100.9,91.39,83.22,74.85,65.39,58.52,70.61,79.62,88.12,103.41,88.28,78.85,70.83
93.74,70.61,46.32,23.77,0.0,23.71,46.87,68.77,89.81,110.48,123.66,134.21,143.06,149.64,158.43,170.86,183.7,103.02,117.27,124.74,128.75,131.06,141.17,155.24,168.44,176.24,175.6,120.67,108.71,98.29,88.24,67.42,72.2,78.26,86.76,93.94,90.61,99.46,104.55,102.96,94.43,88.89,127.99,140.01,148.82,151.4,142.0,133.3,44.05,54.34,65.52,73.76,82.98,92.91,101.12,92.01,81.15,72.25,63.29,54.08,49.09,63.51,72.34,81.5,96.19,81.39,71.25,63.39
116.66,93.68,69.57,47.17,23.71,0.0,23.43,46.01,68.96,92.03,108.19,122.04,134.35,144.56,156.54,171.68,186.95,124.68,138.03,143.78,145.78,145.84,153.84,166.36,177.86,183.74,181.02,133.28,119.95,107.91,95.6,74.4,77.23,81.34,89.27,95.9,110.16,117.96,121.28,117.65,110.6,107.06,137.06,148.6,156.08,156.98,147.83,140.58,40.22,53.41,65.0,71.34,80.13,87.85,93.68,83.43,71.81,62.82,54.12,46.62,44.94,59.54,67.12,76.16,89.19,75.77,65.8,59.06
138.19,115.52,91.79,69.77,46.87,23.43,0.0,23.02,47.76,72.99,92.02,109.04,124.65,138.31,153.22,170.74,188.14,144.73,157.04,161.0,161.01,158.9,164.76,175.56,185.24,189.16,184.45,144.54,130.3,117.18,103.37,83.22,84.1,86.09,92.91,98.6,128.32,135.0,136.62,131.21,125.67,124.0,144.9,155.71,161.76,161.01,152.3,146.63,44.78,57.71,67.96,71.7,79.21,84.02,86.95,76.16,64.66,56.61,49.58,45.61,47.89,59.82,65.05,73.0,83.22,72.35,63.64,59.03
157.18,135.06,112.0,90.7,68.77,46.01,23.02,0.0,26.17,53.01,74.53,94.34,112.87,129.63,147.09,166.6,185.8,161.97,173.0,175.03,173.0,168.76,172.39,181.32,189.04,190.96,184.36,152.9,138.1,124.34,109.66,91.55,90.61,90.52,95.86,100.32,143.75,149.21,149.12,142.09,138.13,138.31,149.91,159.77,164.28,161.94,153.84,149.86,54.01,64.5,72.28,73.16,78.71,80.21,79.91,69.35,59.2,53.34,49.4,49.82,55.15,62.64,64.88,70.83,77.23,69.97,63.56,61.68
171.84,150.9,129.32,109.6,89.81,68.96,47.76,26.17,0.0,27.29,50.33,72.2,93.09,112.54,132.2,153.39,174.15,174.05,183.17,182.63,178.06,171.29,172.19,178.76,184.09,183.73,175.16,154.01,139.01,125.02,110.02,95.35,92.44,90.01,93.26,96.03,153.79,157.56,155.33,146.51,144.59,147.05,147.23,155.72,158.4,154.32,147.12,145.13,63.07,69.38,73.44,71.01,73.68,71.17,67.08,57.94,50.99,49.01,49.65,54.71,62.03,63.51,62.01,64.78,65.92,63.79,61.0,62.51
184.13,164.83,145.25,127.64,110.48,92.03,72.99,53.01,27.29,0.0,24.41,48.1,71.06,92.96,114.49,136.97,158.96,183.62,190.59,187.38,180.28,171.05,169.07,173.01,175.73,172.99,162.52,152.78,138.08,124.43,109.9,99.74,95.08,90.44,91.22,91.92,161.74,163.69,159.33,148.95,149.16,153.88,142.23,149.01,149.66,143.85,137.82,138.03,75.66,77.42,77.37,71.87,71.06,64.28,56.08,50.36,49.04,51.97,57.01,65.12,72.92,68.6,63.56,62.36,57.04,61.4,63.07,67.74
